"team_id","team_name","gp","w","l","w_pct","min","e_off_rating","off_rating","e_def_rating","def_rating","e_net_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","e_pace","pace","pace_per40","poss","pie","gp_rank","w_rank","l_rank","w_pct_rank","min_rank","off_rating_rank","def_rating_rank","net_rating_rank","ast_pct_rank","ast_to_rank","ast_ratio_rank","oreb_pct_rank","dreb_pct_rank","reb_pct_rank","tm_tov_pct_rank","efg_pct_rank","ts_pct_rank","pace_rank","pie_rank","date"
1610612747,"Los Angeles Lakers",1,1,0,1,48,124,121.8,114.3,113.7,9.7,8.1,0.825,2.54,23.4,0.189,0.8,0.506,0.129,0.627,0.667,100.3,101.5,84.58,101,0.541,19,6,1,1,20,4,15,8,2,2,1,28,4,13,7,2,1,18,8,2024-10-25
1610612763,"Memphis Grizzlies",2,1,1,0.5,96,107.9,109.9,115.8,118.3,-7.9,-8.5,0.642,1.63,17.3,0.307,0.569,0.435,0.15,0.519,0.552,108.6,106.5,88.75,213,0.451,1,6,12,12,2,15,26,19,15,16,17,9,30,29,17,16,20,2,22,2024-10-25
1610612748,"Miami Heat",1,0,1,0,48,100.2,100,114.1,118.4,-13.8,-18.4,0.75,2.18,18.3,0.192,0.61,0.414,0.113,0.457,0.512,99.2,97.5,81.25,97,0.424,19,20,12,20,20,26,27,29,4,6,12,26,28,30,3,27,25,29,25,2024-10-25
1610612749,"Milwaukee Bucks",2,1,1,0.5,96,116.8,117.7,115.2,115.8,1.5,1.9,0.573,1.76,18.1,0.231,0.706,0.49,0.139,0.598,0.622,105.2,104.5,87.08,209,0.528,1,6,12,12,2,6,20,13,22,14,13,23,15,17,13,4,6,6,10,2024-10-25
1610612750,"Minnesota Timberwolves",1,1,0,1,48,112,115.8,112.3,112.7,-0.3,3.1,0.585,1.41,18,0.17,0.809,0.489,0.168,0.593,0.626,103.4,101.5,84.58,101,0.485,19,6,1,1,20,9,13,12,20,23,15,29,3,18,21,7,5,18,19,2024-10-25
1610612740,"New Orleans Pelicans",2,2,0,1,96,106.6,108.6,98.3,101.9,8.3,6.7,0.667,2.08,18.8,0.245,0.733,0.488,0.124,0.514,0.554,107.9,105,87.5,210,0.544,1,1,1,1,2,16,6,10,10,7,10,22,10,20,6,19,19,5,7,2024-10-25
1610612752,"New York Knicks",1,1,0,1,48,125.8,126.8,99.2,100,26.6,26.8,0.432,1.58,14.8,0.293,0.711,0.512,0.124,0.595,0.636,98.3,97.5,81.25,97,0.591,19,6,1,1,20,1,4,2,30,17,26,15,14,11,5,6,4,29,4,2024-10-25
1610612760,"Oklahoma City Thunder",1,1,0,1,48,96.9,104.1,84.3,87.9,12.5,16.2,0.535,1.92,16.4,0.317,0.609,0.468,0.122,0.465,0.48,104.2,98.5,82.08,98,0.528,19,6,1,1,20,23,1,6,26,10,21,7,29,27,4,25,29,26,9,2024-10-25
1610612753,"Orlando Magic",2,2,0,1,96,116.5,118.4,99,101,17.5,17.3,0.7,2.07,19.9,0.303,0.777,0.545,0.138,0.564,0.594,99.8,98,81.67,196,0.612,1,1,1,1,2,5,5,5,9,8,7,10,6,4,12,9,11,28,3,2024-10-25
1610612755,"Philadelphia 76ers",2,0,2,0,96,103.7,106.9,116.7,117.7,-12.9,-10.8,0.529,1.42,13.6,0.316,0.624,0.447,0.129,0.451,0.516,103.3,101.25,84.37,202,0.369,1,20,26,20,2,20,25,22,27,22,28,8,26,28,7,28,24,21,30,2024-10-25
1610612756,"Phoenix Suns",2,1,1,0.5,101,109.2,107.9,110.6,110.3,-1.4,-2.4,0.75,1.54,20.8,0.167,0.747,0.475,0.181,0.6,0.636,101.2,101.94,84.95,215,0.501,1,6,12,12,1,18,12,16,4,19,4,30,9,23,26,3,3,15,14,2024-10-25
1610612757,"Portland Trail Blazers",2,0,2,0,96,94.5,98.6,115.7,116.1,-21.1,-17.5,0.644,1.24,16.3,0.289,0.68,0.475,0.181,0.459,0.507,107.7,105.25,87.71,210,0.398,1,20,26,20,2,29,22,27,12,25,22,17,21,24,24,26,26,4,28,2024-10-25
1610612758,"Sacramento Kings",1,0,1,0,48,112.3,112.7,112,115.8,0.3,-3.1,0.553,2.33,16,0.191,0.83,0.511,0.088,0.53,0.59,103.4,101.5,84.58,102,0.515,19,20,12,20,20,13,21,18,25,3,23,27,2,12,1,13,12,18,11,2024-10-25
1610612759,"San Antonio Spurs",1,0,1,0,48,105.3,103.8,114.2,115.4,-8.9,-11.6,0.769,1.58,20.3,0.286,0.698,0.518,0.181,0.523,0.564,104.3,104.5,87.08,105,0.504,19,20,12,20,20,24,19,25,3,18,6,18,17,10,24,14,15,6,12,2024-10-25
1610612761,"Toronto Raptors",2,1,1,0.5,96,105.7,108.3,116.4,119.7,-10.7,-11.4,0.704,1.09,16.8,0.448,0.723,0.584,0.225,0.494,0.567,104.4,101.75,84.79,204,0.468,1,6,12,12,2,17,29,24,8,29,20,1,11,1,30,22,14,16,21,2024-10-25
1610612762,"Utah Jazz",2,0,2,0,96,95.8,101,120.6,121.6,-24.9,-20.7,0.565,1,13.5,0.362,0.655,0.504,0.188,0.444,0.504,107.2,104,86.67,208,0.399,1,20,26,20,2,25,30,30,23,30,29,6,24,14,28,29,27,10,27,2024-10-25
1610612764,"Washington Wizards",1,0,1,0,48,94.5,99,117.4,117.3,-22.9,-18.3,0.659,1.8,18.5,0.286,0.7,0.481,0.146,0.468,0.496,105.9,103.5,86.25,103,0.436,19,20,12,20,20,28,24,28,11,13,11,18,16,22,16,24,28,11,24,2024-10-25
1610612737,"Atlanta Hawks",2,2,0,1,96,117.2,116.7,110,113.5,7.3,3.2,0.641,1.67,17.5,0.286,0.621,0.473,0.143,0.556,0.619,105.9,104.5,87.08,210,0.583,10,2,1,1,11,7,16,11,17,17,19,19,28,25,13,9,7,7,4,2024-10-26
1610612738,"Boston Celtics",2,2,0,1,96,120.5,121.8,104,110,16.6,11.8,0.5,1.67,14.6,0.314,0.67,0.493,0.119,0.553,0.6,103.9,100.5,83.75,202,0.529,10,2,1,1,11,5,13,5,28,17,26,10,22,16,4,10,10,20,9,2024-10-26
1610612751,"Brooklyn Nets",2,0,2,0,96,102.2,106.4,117,116.3,-14.7,-9.9,0.573,1.13,15.6,0.29,0.756,0.497,0.186,0.52,0.559,103.5,101.75,84.79,204,0.381,10,23,19,23,11,23,22,23,22,28,23,17,5,14,27,18,17,14,29,2024-10-26
1610612766,"Charlotte Hornets",3,1,2,0.333,144,109.6,113.1,111.7,115.1,-2.1,-1.9,0.544,1.13,14.6,0.411,0.677,0.543,0.185,0.513,0.554,102.4,99.33,82.78,297,0.464,1,12,19,19,2,11,19,16,25,29,27,1,21,4,26,20,21,24,22,2024-10-26
1610612741,"Chicago Bulls",3,1,2,0.333,144,101.9,102.1,105.9,108.8,-4,-6.7,0.658,1.39,17.7,0.221,0.789,0.508,0.172,0.522,0.556,112,110.33,91.94,332,0.465,1,12,19,19,2,26,10,21,14,25,17,27,2,10,22,17,18,1,21,2024-10-26
1610612739,"Cleveland Cavaliers",3,3,0,1,144,122.9,125.5,103.1,105.2,19.8,20.3,0.6,1.95,19.8,0.279,0.663,0.491,0.141,0.632,0.654,104.3,102.17,85.14,306,0.617,1,1,1,1,2,3,6,3,21,8,7,20,24,17,12,1,1,13,2,2024-10-26
1610612742,"Dallas Mavericks",2,1,1,0.5,96,109.3,109.9,109.4,110.4,-0.1,-0.5,0.62,2.58,17.4,0.275,0.737,0.479,0.094,0.487,0.521,101.7,101,84.17,202,0.456,10,12,10,13,11,16,14,15,20,1,20,21,10,21,1,23,23,17,24,2024-10-26
