"player","name","value","Average"
"Nah'Shon Hyland","Tankathon",40,29.0769230769231
"Nah'Shon Hyland","USA Today",15,29.0769230769231
"Nah'Shon Hyland","Sam Vecenie",31,29.0769230769231
"Ayo Dosunmu","Average",31,30.9166666666667
"Ayo Dosunmu","Bleacher Report",35,30.9166666666667
"Ayo Dosunmu","CBS",20,30.9166666666667
"Ayo Dosunmu","Chad Ford",32,30.9166666666667
"Ayo Dosunmu","Dean On Draft",NA,30.9166666666667
"Ayo Dosunmu","ESPN",34,30.9166666666667
"Ayo Dosunmu","John Hollinger",39,30.9166666666667
"Ayo Dosunmu","nbadraft.net",24,30.9166666666667
"Ayo Dosunmu","Kevin O'Connor",31,30.9166666666667
"Ayo Dosunmu","SB Nation",NA,30.9166666666667
"Ayo Dosunmu","Sports Illustrated",35,30.9166666666667
"Ayo Dosunmu","Sporting News",24,30.9166666666667
"Ayo Dosunmu","Tankathon",35,30.9166666666667
"Ayo Dosunmu","USA Today",39,30.9166666666667
"Ayo Dosunmu","Sam Vecenie",23,30.9166666666667
